ID,캐릭터 이름,대사
62,???,(무전) 길은 밝혀뒀어. 탐색모드. 있지?
63,핀,그건 어떻게....?
64,???,(지지직소리) 아...무튼' 알아서... (무전 끊어지는 소리)
65,핀,뭐가 어떻게 돌아가는 거야...?
,,적어도 여기서 평생 살고 싶진 않아.
,,...올라가 보자.
66,???,(지지직소리) ...어...디...
67,핀,잘 안 들려요. 그리고 당신은 대체...
68,???,(지지직소리) ......아직...도...
,,(무전) 그... 소리를 하는 거야?
69,핀,다행이네요. 그래서...
70,???,(무전) 그래서. 어디쯤이야?
71,핀,.. (한숨)
72,???,(무전) 해킹이 덜된 건가? 저기?
73,핀,나가게 된다면' 제대로 이유는 설명해주셔야 해요.
74,???,(무전) ...이제야. 말이 좀 통하네.
75,???,(무전) 슬슬 보안 로봇들이 몰려올 거야. 보안 시스템 작동했지?
76,핀,빨간색 불빛이 보안 시스템이라면 맞아요.
77,???,(무전) 그게 보안 시스템 맞아.
,,(무전) 사실 누가 마음먹었더라면 누구라도 털 수 있었을걸.
,,(무전) 나름 제페토의 유산이 있는 곳인데.
,,(무전) 너' 나름 비싼 몸이야. 할배만 아니었으면 내가 갖다 팔았어.
78,핀,...그거' 나름 상처인데요.
79,???,(무전) ...말이 그렇다는 거야.
80,???,(무전) 지금은 어디쯤이야?
81,핀,뭐라고 말씀드려야 할지 모르겠는데. 천장이 높은 곳이에요. 다리도 있고.
82,???,(무전) 그럼 거의 다 온 거야. 왼쪽으로 가면 문이 있어.
83,핀,..저는' 정말 탈출하고 있는 거군요.
84,???,(무전) 그런 건' 나가서 해도 늦지 않아. 서둘러.
85,핀,그런 거겠죠. 나가서 뵐 수 있었으면 좋겠네요. 얼굴도 궁금하고.
86,???,(무전) ... 로봇치고 감수성이 풍부하네.
87,핀, 저를 밖으로 내보내 주신 분이니까요.
88,???,(무전) (지지직거리는 소리)...
89,핀,저런' 끊어졌어. 방향은 여기가 맞는 거겠지?
,,문을 찾아 열고 밖으로 나가자. ...드디어. 밖으로 나가는 거야.
